Tackles,,,,,Challenges,,,,Blocks,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,24-104,2000,12.3,28,18,20,6,2,19,30,63.3,11,9,5,4,6,34,23,0,Matches
2,Bénie Adama Traore,ci CIV,"FW,MF",Sheffield Utd,21-139,2002,4.3,4,2,1,2,1,0,4,0,4,4,1,3,1,5,1,0,Matches
3,Tyler Adams,us USA,MF,Bournemouth,25-063,1999,1.2,4,3,1,3,0,2,3,66.7,1,2,0,2,4,8,2,0,Matches
4,Tosin Adarabioyo,eng ENG,DF,Fulham,26-206,1997,17,20,11,15,5,0,11,18,61.1,7,15,11,4,23,43,75,0,Matches
5,Elijah Adebayo,eng ENG,FW,Luton Town,26-101,1998,12.9,1,0,1,0,0,0,9,0,9,8,1,7,5,6,23,0,Matches
6,Simon Adingra,ci CIV,FW,Brighton,22-107,2002,19.6,32,18,17,8,7,13,32,40.6,19,21,1,20,13,45,14,0,Matches
7,Nayef Aguerd,ma MAR,DF,West Ham,28-018,1996,20.6,26,14,19,7,0,16,22,72.7,6,33,24,9,17,43,85,2,Matches
8,Brandon Aguilera,cr CRC,FW,Nott'ham Forest,20-294,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
9,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,22-019,2002,2.7,6,4,3,3,0,4,11,36.4,7,3,0,3,1,7,3,0,Matches
10,Anel Ahmedhodžić,ba BIH,DF,Sheffield Utd,25-022,1999,24.4,55,35,40,13,2,24,42,57.1,18,36,21,15,28,83,123,2,Matches
11,Ola Aina,ng NGA,DF,Nott'ham Forest,27-192,1996,14.8,32,19,23,8,1,19,26,73.1,7,14,3,11,13,45,46,1,Matches
12,Rayan Aït-Nouri,dz ALG,"DF,MF",Wolves,22-316,2001,21.2,54,31,30,18,6,21,36,58.3,15,25,6,19,12,66,31,0,Matches
13,Kristoffer Ajer,no NOR,DF,Brentford,26-000,1998,17.4,32,17,22,8,2,20,32,62.5,12,23,11,12,20,52,70,1,Matches
14,Manuel Akanji,ch SUI,"DF,MF",Manchester City,28-273,1995,22.1,32,22,11,14,7,17,30,56.7,13,23,12,11,22,54,62,2,Matches
15,Nathan Aké,nl NED,DF,Manchester City,29-059,1995,19.5,23,13,15,6,2,12,17,70.6,5,13,2,11,11,34,44,0,Matches
16,Thiago Alcántara,es ESP,MF,Liverpool,33-006,1991,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
17,Trent Alexander-Arnold,eng ENG,DF,Liverpool,25-193,1998,18.5,28,19,19,8,1,20,68,29.4,48,14,1,13,23,51,40,4,Matches
18,Alisson,br BRA,GK,Liverpool,31-198,1992,22,0,0,0,0,0,0,1,0,1,0,0,0,0,0,11,3,Matches
19,Miguel Almirón,py PAR,FW,Newcastle Utd,30-067,1994,20.5,35,24,12,15,8,11,28,39.3,17,28,2,26,10,45,12,0,Matches
20,Edson Álvarez,mx MEX,MF,West Ham,26-176,1997,23.9,70,34,41,23,6,29,59,49.2,30,55,19,36,37,107,74,0,Matches
