Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Alisson,br BRA,GK,Liverpool,31-197,1992,22,22,"1,980",22,20,0.91,77,58,75.3,13,6,3,7,31.8,1,1,0,0,0,Matches
2,Alphonse Areola,fr FRA,GK,West Ham,31-049,1993,27,27,"2,339",26,42,1.62,153,111,75.8,10,8,9,4,14.8,7,5,2,0,28.6,Matches
3,Daniel Bentley,eng ENG,GK,Wolves,30-278,1993,4,2,293,3.3,4,1.23,12,8,66.7,1,0,1,1,50,0,0,0,0,,Matches
4,Martin Dúbravka,sk SVK,GK,Newcastle Utd,35-092,1989,18,17,"1,535",17.1,34,1.99,102,67,70.6,7,3,7,5,29.4,5,4,1,0,20,Matches
5,Ederson,br BRA,GK,Manchester City,30-243,1993,28,28,"2,402",26.7,26,0.97,74,49,68.9,19,6,3,8,28.6,3,3,0,0,0,Matches
6,Łukasz Fabiański,pl POL,GK,West Ham,38-364,1985,9,6,631,7,16,2.28,46,30,71.7,3,1,2,1,16.7,3,3,0,0,0,Matches
7,Mark Flekken,nl NED,GK,Brentford,30-308,1993,32,32,"2,835",31.5,56,1.78,158,102,65.8,8,8,16,6,18.8,2,2,0,0,0,Matches
8,Wes Foderingham,eng ENG,GK,Sheffield Utd,33-093,1991,25,24,"2,199",24.4,63,2.58,165,106,63.6,3,4,17,1,4.2,4,3,0,1,0,Matches
9,Ivo Grbić,hr CRO,GK,Sheffield Utd,28-089,1996,8,8,681,7.6,21,2.78,50,31,58,0,3,5,0,0,1,0,0,1,,Matches
10,Dean Henderson,eng ENG,GK,Crystal Palace,27-035,1997,12,12,"1,080",12,26,2.17,69,43,63.8,3,3,6,1,8.3,1,1,0,0,0,Matches
11,Sam Johnstone,eng ENG,GK,Crystal Palace,31-022,1993,20,20,"1,796",20,27,1.35,67,41,62.7,5,6,9,6,30,2,2,0,0,0,Matches
12,Thomas Kaminski,be BEL,GK,Luton Town,31-176,1992,33,33,"2,970",33,70,2.12,190,124,64.7,6,7,20,2,6.1,3,3,0,0,0,Matches
13,Loris Karius,de GER,GK,Newcastle Utd,30-299,1993,1,1,90,1,4,4,7,4,42.9,0,0,1,0,0,0,0,0,0,,Matches
14,Caoimhín Kelleher,ie IRL,GK,Liverpool,25-145,1998,10,10,900,10,11,1.1,38,28,71.1,8,2,0,2,20,0,0,0,0,,Matches
15,Bernd Leno,de GER,GK,Fulham,32-043,1992,33,33,"2,970",33,51,1.55,162,115,72.2,12,6,15,9,27.3,6,6,0,0,0,Matches
16,Emiliano Martínez,ar ARG,GK,Aston Villa,31-227,1992,31,31,"2,790",31,44,1.42,126,85,65.1,18,6,7,8,25.8,0,0,0,0,,Matches
17,Remi Matthews,eng ENG,GK,Crystal Palace,30-066,1994,1,0,4,0,1,22.5,1,0,0,0,0,0,0,,0,0,0,0,,Matches
18,Arijanet Muric,xk KVX,GK,Burnley,25-161,1998,5,5,450,5,6,1.2,31,26,83.9,1,3,1,0,0,1,1,0,0,0,Matches
19,Neto,br BRA,GK,Bournemouth,34-272,1989,30,30,"2,700",30,50,1.67,154,104,70.8,10,9,11,7,23.3,6,5,1,0,16.7,Matches
20,Robin Olsen,se SWE,GK,Aston Villa,34-099,1990,2,2,180,2,5,2.5,13,8,61.5,1,0,1,0,0,0,0,0,0,,Matches
21,André Onana,cm CMR,GK,Manchester Utd,28-014,1996,32,32,"2,880",32,48,1.5,168,121,75,15,5,12,8,25,6,6,0,0,0,Matches
22,Stefan Ortega,de GER,GK,Manchester City,31-162,1992,6,4,478,5.3,6,1.13,21,15,71.4,3,1,0,1,25,0,0,0,0,,Matches
