Total,,,,,Short,,,Medium,,,Long,,,,,Expected,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,3-Jan,PPA,CrsPA,PrgP,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,24-104,2000,12.3,394,516,76.4,6518,2525,193,220,87.7,163,209,78,32,57,56.1,1,0.8,0.9,0.2,7,22,13,2,41,Matches
2,Bénie Adama Traore,ci CIV,"FW,MF",Sheffield Utd,21-139,2002,4.3,55,71,77.5,775,185,34,38,89.5,19,23,82.6,1,1,100,0,0.5,0.5,-0.5,4,2,7,1,9,Matches
3,Tyler Adams,us USA,MF,Bournemouth,25-063,1999,1.2,50,62,80.6,841,242,30,34,88.2,14,20,70,6,8,75,0,0.1,0,-0.1,1,8,0,0,4,Matches
4,Tosin Adarabioyo,eng ENG,DF,Fulham,26-206,1997,17,983,1156,85,20174,7607,260,289,90,601,667,90.1,113,168,67.3,0,0.1,0.3,-0.1,1,46,2,0,60,Matches
5,Elijah Adebayo,eng ENG,FW,Luton Town,26-101,1998,12.9,128,177,72.3,1627,336,84,105,80,35,52,67.3,3,6,50,0,0.7,0.4,-0.7,14,7,3,0,19,Matches
6,Simon Adingra,ci CIV,FW,Brighton,22-107,2002,19.6,518,688,75.3,7266,1331,333,402,82.8,154,201,76.6,17,31,54.8,1,2.5,2.1,-1.5,25,12,27,10,41,Matches
7,Nayef Aguerd,ma MAR,DF,West Ham,28-018,1996,20.6,943,1177,80.1,19870,8804,335,360,93.1,452,493,91.7,143,297,48.1,0,0.3,0.4,-0.3,4,74,2,0,68,Matches
8,Brandon Aguilera,cr CRC,FW,Nott'ham Forest,20-294,2003,0.1,4,8,50,48,23,3,6,50,1,2,50,0,0,,0,0,0,0,0,1,0,0,0,Matches
9,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,22-019,2002,2.7,89,113,78.8,1325,355,48,57,84.2,33,39,84.6,3,5,60,0,0,0.1,0,1,4,0,0,13,Matches
10,Anel Ahmedhodžić,ba BIH,DF,Sheffield Utd,25-022,1999,24.4,603,804,75,10002,4002,288,332,86.7,264,328,80.5,40,104,38.5,0,0.5,0.4,-0.5,3,32,1,0,35,Matches
11,Ola Aina,ng NGA,DF,Nott'ham Forest,27-192,1996,14.8,435,586,74.2,6903,2893,232,261,88.9,169,222,76.1,26,68,38.2,1,0.8,0.6,0.2,9,36,5,1,48,Matches
12,Rayan Aït-Nouri,dz ALG,"DF,MF",Wolves,22-316,2001,21.2,823,971,84.8,11377,3375,515,565,91.2,238,277,85.9,32,57,56.1,1,1.9,1.5,-0.9,21,54,12,3,90,Matches
13,Kristoffer Ajer,no NOR,DF,Brentford,26-000,1998,17.4,505,681,74.2,8662,3109,230,271,84.9,224,283,79.2,43,95,45.3,1,2.3,2.6,-1.3,12,46,9,3,50,Matches
14,Manuel Akanji,ch SUI,"DF,MF",Manchester City,28-273,1995,22.1,1743,1871,93.2,28451,7397,872,907,96.1,746,790,94.4,95,125,76,0,0.3,1.4,-0.3,10,174,14,2,124,Matches
15,Nathan Aké,nl NED,DF,Manchester City,29-059,1995,19.5,1477,1609,91.8,22622,7392,754,792,95.2,650,689,94.3,38,73,52.1,2,1.2,1.1,0.8,10,134,5,1,103,Matches
16,Thiago Alcántara,es ESP,MF,Liverpool,33-006,1991,0.1,7,10,70,130,30,3,3,100,3,4,75,1,2,50,0,0,0,0,0,0,0,0,0,Matches
17,Trent Alexander-Arnold,eng ENG,DF,Liverpool,25-193,1998,18.5,1180,1586,74.4,23272,9493,509,553,92,457,585,78.1,195,399,48.9,4,5.5,4.7,-1.5,54,151,43,13,156,Matches
18,Alisson,br BRA,GK,Liverpool,31-198,1992,22,803,939,85.5,17581,10780,196,197,99.5,480,490,98,124,243,51,0,0,0,0,1,7,0,0,3,Matches
19,Miguel Almirón,py PAR,FW,Newcastle Utd,30-067,1994,20.5,632,765,82.6,8581,1766,388,433,89.6,197,239,82.4,20,37,54.1,1,2.6,2.3,-1.6,23,37,20,3,75,Matches
20,Edson Álvarez,mx MEX,MF,West Ham,26-176,1997,23.9,943,1101,85.6,15435,4578,475,522,91,366,406,90.1,76,118,64.4,1,0.5,0.7,0.5,10,74,4,0,79,Matches
